From	To	Species	Gene Name
P01857	IGHM	Homo sapiens	immunoglobulin heavy constant gamma 1 (G1m marker); immunoglobulin heavy constant mu; immunoglobulin heavy variable 3-7; immunoglobulin heavy constant gamma 3 (G3m marker); immunoglobulin heavy variable 3-11 (gene/pseudogene); immunoglobulin heavy variable 4-31; immunoglobulin heavy locus
P01857	ighv4-31	Homo sapiens	immunoglobulin heavy constant gamma 1 (G1m marker); immunoglobulin heavy constant mu; immunoglobulin heavy variable 3-7; immunoglobulin heavy constant gamma 3 (G3m marker); immunoglobulin heavy variable 3-11 (gene/pseudogene); immunoglobulin heavy variable 4-31; immunoglobulin heavy locus
B0I1S2	MYH14	Homo sapiens	myosin, heavy chain 14
A8K9J8	Ciz1	Homo sapiens	CDKN1A interacting zinc finger protein 1
Q6NUL7	sptlc1	Homo sapiens	serine palmitoyltransferase, long chain base subunit 1
Q6DKK2	TTC19	Homo sapiens	tetratricopeptide repeat domain 19
Q12880	L1RE2	Homo sapiens	LINE1 retrotransposable element 2
Q9BYX7	POTEKP	Homo sapiens	POTE ankyrin domain family, member K
Q5HY50	RPL10P15	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
Q5HY50	rpl10	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
Q5HY50	RPL10P9	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
Q5HY50	RPL10P16	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
Q5HY50	RPL10P6	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
Q5JVH5	RPS26P8	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P39	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
