From	To	Species	Gene Name
Q5JVH5	RPS26	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P38	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P35	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P25	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P31	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P6	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P20	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P50	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P2	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P53	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
Q5JVH5	RPS26P54	Homo sapiens	ribosomal protein S26 pseudogene 38; ribosomal protein S26 pseudogene 39; ribosomal protein S26 pseudogene 35; ribosomal protein S26 pseudogene 31; ribosomal protein S26 pseudogene 20; ribosomal protein S26 pseudogene 54; ribosomal protein S26 pseudogene 2; ribosomal protein S26 pseudogene 53; ribosomal protein S26 pseudogene 25; ribosomal protein S26 pseudogene 50; ribosomal protein S26 pseudogene 6; ribosomal protein S26 pseudogene 8; ribosomal protein S26
B3KX51	gnai2	Homo sapiens	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
Q8WUM5	GEMIN4	Homo sapiens	gem (nuclear organelle) associated protein 4
Q9P0J0	Ndufa13	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13
Q6ZS03	HDLBP	Homo sapiens	high density lipoprotein binding protein
C9J9R8	NHP2L1	Homo sapiens	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
B2RXH8	HNRNPCL1	Homo sapiens	heterogeneous nuclear ribonucleoprotein C-like; heterogeneous nuclear ribonucleoprotein C-like 1; similar to Heterogeneous nuclear ribonucleoprotein C-like dJ845O24.4 (hnRNP core protein C-like)
B2RXH8	LOC649330	Homo sapiens	heterogeneous nuclear ribonucleoprotein C-like; heterogeneous nuclear ribonucleoprotein C-like 1; similar to Heterogeneous nuclear ribonucleoprotein C-like dJ845O24.4 (hnRNP core protein C-like)
B2RXH8	LOC440563	Homo sapiens	heterogeneous nuclear ribonucleoprotein C-like; heterogeneous nuclear ribonucleoprotein C-like 1; similar to Heterogeneous nuclear ribonucleoprotein C-like dJ845O24.4 (hnRNP core protein C-like)
Q6EHZ3	TXNDC5	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
Q6EHZ3	MUTED	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
Q8IZP2	FAM10A5	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
Q8IZP2	FAM10A4	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
Q8IZP2	LOC643310	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
P62491	Rab11a	Homo sapiens	RAB11A, member RAS oncogene family
Q8NFI4	FAM10A5	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
Q8NFI4	FAM10A4	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
Q8NFI4	LOC643310	Homo sapiens	similar to heat shock 70kD protein binding protein; family with sequence similarity 10, member A4 pseudogene; family with sequence similarity 10, member A5 pseudogene
Q7Z739	YTHDF3	Homo sapiens	YTH domain family, member 3
Q8NCF7	SLC25A3	Homo sapiens	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3
P48741	HSPA6	Homo sapiens	heat shock 70kDa protein 7 (HSP70B); heat shock 70kDa protein 6 (HSP70B')
P48741	HSPA7	Homo sapiens	heat shock 70kDa protein 7 (HSP70B); heat shock 70kDa protein 6 (HSP70B')
Q9Y5J1	utp18	Homo sapiens	UTP18, small subunit (SSU) processome component, homolog (yeast)
Q03252	Lmnb2	Homo sapiens	lamin B2
C9J497	Cdk1	Homo sapiens	cell division cycle 2, G1 to S and G2 to M
Q02878	RPL6P27	Homo sapiens	ribosomal protein L6 pseudogene 27; ribosomal protein L6 pseudogene 19; ribosomal protein L6; ribosomal protein L6 pseudogene 10
Q02878	rpl6	Homo sapiens	ribosomal protein L6 pseudogene 27; ribosomal protein L6 pseudogene 19; ribosomal protein L6; ribosomal protein L6 pseudogene 10
Q02878	RPL6P19	Homo sapiens	ribosomal protein L6 pseudogene 27; ribosomal protein L6 pseudogene 19; ribosomal protein L6; ribosomal protein L6 pseudogene 10
Q02878	RPL6P10	Homo sapiens	ribosomal protein L6 pseudogene 27; ribosomal protein L6 pseudogene 19; ribosomal protein L6; ribosomal protein L6 pseudogene 10
Q6RUP8	Impdh2	Homo sapiens	IMP (inosine monophosphate) dehydrogenase 2
Q9Y3B4	SF3B14	Homo sapiens	splicing factor 3B, 14 kDa subunit
Q59G11	MKRN1	Homo sapiens	makorin ring finger protein pseudogene 6; makorin ring finger protein 1
Q59G11	MKRN9P	Homo sapiens	makorin ring finger protein pseudogene 6; makorin ring finger protein 1
Q6P169	SMC4	Homo sapiens	structural maintenance of chromosomes 4
Q59G12	TMPO	Homo sapiens	thymopoietin
Q05DV5	ZC3HAV1	Homo sapiens	zinc finger CCCH-type, antiviral 1
Q05DF7	hltf	Homo sapiens	helicase-like transcription factor
Q99867	TUBB4Q	Homo sapiens	tubulin, beta polypeptide 4, member Q
Q5H909	MAGED2	Homo sapiens	melanoma antigen family D, 2
Q3SYP6	ptcd1	Homo sapiens	pentatricopeptide repeat domain 1
